RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,prediction
0.65707254,2.0179584,-0.9725946,1.7784712,-1.6049746,2.203809,1.2679422,-1.5469633,-0.89626354,-1.263904,1
0.8752119,2.0409682,-1.4596224,1.7677381,1.8877828,-1.5054723,1.7227949,1.792748,-0.981486,2.0737393,1
0.7323923,2.2054708,-0.9539526,1.8218911,1.907049,-1.5203809,1.2683475,-1.6017268,-1.0145828,-1.7670342,1
1.3126497,2.2552235,-1.5370122,2.0518885,2.1892698,-1.7661035,2.054661,2.093197,-1.3541182,3.120527,1
4.6882854,6.4641576,-5.2319856,5.8615494,-5.89335,6.3270755,5.4173613,5.8908844,-4.867106,5.8869276,1
-0.64372337,3.8062031,3.6991146,-3.619926,3.7429173,-3.3979108,4.0491834,3.5534143,-3.3567634,-3.0046759,1
2.7799108,-3.8186533,-3.0316992,4.4646263,4.458197,4.8441625,3.525142,-3.6290333,-3.2398348,-4.075555,1
-0.022009192,-0.6837142,-0.25740668,-0.8971439,-0.7609164,-0.70855296,0.19747767,-0.56940097,-0.22403128,1.1040963,1
1.0066961,3.580741,-2.911211,-3.3198237,3.4493299,3.9035378,3.4405012,-2.2602525,-2.7035477,3.270022,1
0.47769505,-0.2583391,-0.5480955,-1.1960411,1.247243,-0.7731967,0.21697506,-1.1913267,-0.23023868,-1.1248667,1
2.6698031,4.210441,-3.17175,4.1153083,4.2016034,4.5488987,3.8009565,4.139428,-2.8590415,-3.5350883,1
0.2543928,-0.6459378,-0.19524814,1.1574415,-1.2763058,1.8778526,0.15744947,-0.8672988,-0.3432092,-0.8175363,1
0.43658313,-1.1511805,2.0309346,1.4881799,1.5986164,-1.1978381,-0.43875808,-1.5450017,-1.1517887,-0.95875365,1
-0.011651467,1.352764,-0.760432,1.1427706,-1.1891016,1.3072898,-0.39681286,-1.1808608,1.4840248,1.6609479,1
3.8608482,-4.5789704,-4.1479335,5.1453013,5.204495,5.49381,4.666963,5.6444063,-4.3073616,-4.8198953,1
